date,actual,predicted,position,strategy_ret,buyhold_ret,strategy_equity,buyhold_equity
2024-04-01,-0.01692044,0.0011265494,1.0,-0.01692044,-0.01692044,0.98307955,0.98307955
2024-04-02,-0.0037066822,0.001232296,1.0,-0.0037066822,-0.0037066822,0.97943556,1.0000627
2024-04-03,0.0015307354,0.0013517928,1.0,0.0015307354,0.0015307354,0.98093486,1.0000001
2024-04-04,0.0042087114,0.0009838891,1.0,0.0042087114,0.0042087114,0.9850633,1.0
2024-04-05,0.0034552447,0.00086493796,1.0,0.0034552447,0.0034552447,0.988467,1.0
2024-04-08,0.01813924,0.0008567557,1.0,0.01813924,0.01813924,1.006397,1.0
2024-04-09,0.0021205775,0.00076559343,1.0,0.0021205775,0.0021205775,1.0085312,1.0
2024-04-10,-0.00451718,0.0006330402,1.0,-0.00451718,-0.00451718,1.0039755,1.0
2024-04-12,-0.023870127,0.00043720723,1.0,-0.023870127,-0.023870127,0.9800105,1.0
2024-04-15,-0.010534225,0.00031230343,1.0,-0.010534225,-0.010534225,0.96968687,1.0
2024-04-16,-0.010930605,0.0003917602,1.0,-0.010930605,-0.010930605,0.9590876,1.0
2024-04-18,0.011118079,0.00086565805,1.0,0.011118079,0.011118079,0.9697508,1.0
2024-04-19,0.018014362,0.0014987935,1.0,0.018014362,0.018014362,0.9872202,1.0
2024-04-22,0.0033073404,0.0013080998,1.0,0.0033073404,0.0033073404,0.9904853,1.0
2024-04-23,0.0059441994,0.0007969947,1.0,0.0059441994,0.0059441994,0.996373,1.0
2024-04-24,0.0153814815,0.0011598379,1.0,0.0153814815,0.0153814815,1.0116987,1.0
2024-04-25,-0.0052663493,0.0014857939,1.0,-0.0052663493,-0.0052663493,1.0063708,1.0
2024-04-26,0.04608292,0.0018232551,1.0,0.04608292,0.04608292,1.0527474,1.0
2024-04-29,-0.008439605,0.0010098295,1.0,-0.008439605,-0.008439605,1.0438626,1.0
2024-04-30,-0.009564023,0.0010713096,1.0,-0.009564023,-0.009564023,1.033879,1.0
2024-05-02,0.0022793657,0.0010456677,1.0,0.0022793657,0.0022793657,1.0362357,1.0
2024-05-03,0.0037143445,0.0010689246,1.0,0.0037143445,0.0037143445,1.0400846,1.0
